,mean,median,std,min,max
Stage1.Output.Measurement11.U.Setpoint,6.135513912549687,6.16,0.3876150087311078,0.0,6.16
Stage1.Output.Measurement12.U.Actual,1.202879578230054,1.5,0.6636772427288354,-0.00035552,3.95
Stage1.Output.Measurement12.U.Setpoint,2.011970471323112,2.02,0.12710751909687076,0.0,2.02
Stage1.Output.Measurement13.U.Actual,2.8811808868902364,3.18,0.9410270280208768,-1.225095376,6.91
Stage1.Output.Measurement13.U.Setpoint,3.1474389551391253,3.16,0.1988414655178501,0.0,3.16
Stage1.Output.Measurement14.U.Actual,9.940519377001733,15.03,7.416542681069604,-6.548924383,22.30178774
Stage1.Output.Measurement14.U.Setpoint,17.649562748438385,17.72,1.1150223952457474,0.0,17.72
Machine4.Temperature1.C.Actual,360.1240343996096,360.0,2.287781539104152,298.0,393.0
Machine4.Temperature2.C.Actual,360.1347007455565,360.0,2.9572402357000627,284.0,396.0
Machine4.Pressure.C.Actual,17.22626905306644,17.0,0.9411130397225623,14.0,25.0
Machine4.Temperature3.C.Actual,322.6121129392462,324.0,3.713272603843624,268.0,327.0
Machine4.Temperature4.C.Actual,17.22626905306644,17.0,0.9411130397225623,14.0,25.0
Machine4.Temperature5.C.Actual,309.78199768782656,311.0,2.8599168396486214,260.0,326.0
Machine4.ExitTemperature.U.Actual,187.1396247819655,192.0,23.653074588399047,35.0,216.0
Machine5.Temperature1.C.Actual,309.9981278206488,310.0,0.039173752229819635,309.4,310.3
Machine5.Temperature2.C.Actual,289.99819317661127,290.0,0.05188742286098892,289.7,290.3
Machine5.Temperature3.C.Actual,269.6794686058632,270.0,1.0309231971547936,263.8,270.0
Machine5.Temperature4.C.Actual,242.66049093863572,242.7,1.591025396295474,237.6,245.0
Machine5.Temperature5.C.Actual,244.99502426472176,245.0,0.10557232155367914,242.9,245.7
Machine5.Temperature6.C.Actual,63.42115198208334,63.4,0.40223703507625974,62.8,66.1
Machine5.ExitTemperature.U.Actual,153.98008153461672,155.6,10.308023232680638,45.4,159.2
Stage2.Output.Measurement0.U.Actual,11.695055348555792,12.81,3.6204929634421177,-9.7729e-137,19.06403423
Stage2.Output.Measurement0.U.Setpoint,12.050000000000002,12.05,1.0676283525614266e-12,12.05,12.05
Stage2.Output.Measurement1.U.Actual,6.261505789759377,6.48,1.6069991930590795,-2.98079e-05,12.86
Stage2.Output.Measurement1.U.Setpoint,11.710000000000003,11.71,5.666779442048172e-13,11.71,11.71
Stage2.Output.Measurement2.U.Actual,10.250606062613715,10.86,2.3111614766877753,-3.2758e-107,16.54
Stage2.Output.Measurement2.U.Setpoint,11.0,11.0,0.0,11.0,11.0
Stage2.Output.Measurement3.U.Actual,19.303841595144803,20.59,4.690262629941422,-6.711300000000001e-107,25.22
Stage2.Output.Measurement3.U.Setpoint,20.73,20.73,2.1956549813076927e-12,20.73,20.73
Stage2.Output.Measurement4.U.Actual,2.9285523498050114,0.0,9.167665566289202,-1.424e-13,34.29
Stage2.Output.Measurement4.U.Setpoint,31.360000000000014,31.36,9.663724189574311e-12,31.36,31.36
Stage2.Output.Measurement5.U.Actual,2.7432118461673762,2.73,0.3913714102318063,-3.5113499999999996e-95,8.11
Stage2.Output.Measurement5.U.Setpoint,2.710000000000001,2.71,6.78592397135549e-13,2.71,2.71
Stage2.Output.Measurement6.U.Actual,0.5322880672443214,0.55,0.20476765882226203,-3.6986e-105,3.31
Stage2.Output.Measurement6.U.Setpoint,0.01,0.01,1.1952668971551693e-15,0.01,0.01
